Name: CCTV-1, URL: http://115.171.216.225:4000/udp/225.1.8.1:8008$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000501$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://114.249.215.204:9888/udp/239.3.1.129:8008$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://113.100.72.187:8899/udp/239.77.1.17:5146$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://8.138.7.223/tv/mgitv.php?id=7$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000002226/$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/1.m3u8$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://27.11.51.158:8003/udp/225.0.4.74:7980$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$订阅源, Date: None, Delay: 464 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV-1, URL: http://114.249.229.24:8888/udp/239.3.1.129:8008$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 513 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-1, URL: http://171.107.6.179:5432/udp/239.81.0.102:4056$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://221.237.190.27:4022/udp/239.93.0.184:5140$订阅源, Date: None, Delay: None ms, Speed: 0.00 M/s, Resolution: None
